731,489,267,145,54,65,105,37,61,124,28,9,80,26,2,2,0,9,0,1,0,0,1,0,5,0,0,1,0,0,1,0,1,1,8,0,0,0,3,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2484,2035,952,277,539,236,686,424,503,388,371,169,273,284,156,89,55,134,4,17,24,2,29,40,31,58,20,40,13,16,61,3,1,12,18,23,24,7,15,13,0,26,33,30,7,67,0,0,9,4,2,0,0,0,0,0,0,7,0,0,2,9,1,2,7,6,0,0,0,0
21813,7445,5094,2557,2682,2177,2800,1690,2095,1705,1757,548,1764,998,242,233,0,194,40,11,120,0,109,34,409,16,13,81,130,83,184,0,225,51,27,61,82,6,84,0,0,0,54,94,0,0,10,0,0,78,24,0,0,0,0,0,0,49,0,0,0,73,0,0,6,6,28,0,0,0
263,141,43,60,109,37,49,29,40,38,55,27,19,12,24,16,4,9,2,0,15,0,6,0,17,0,2,9,6,1,11,0,0,0,2,0,8,0,3,0,0,0,2,9,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0
2760,4636,1799,810,811,1475,386,686,726,600,467,243,187,153,247,183,173,49,21,79,38,0,65,0,80,0,32,86,10,23,107,19,39,8,40,5,7,0,11,0,0,1,42,63,1,3,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,17,0,0,9,0,0,0,0,0
6770,2135,1695,908,866,607,933,559,633,466,407,131,363,612,108,159,86,59,34,18,48,0,50,0,43,0,4,189,31,61,17,0,2,0,9,8,99,11,5,0,0,11,8,19,0,0,0,0,0,18,14,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0
1009,1610,699,241,375,168,306,133,297,148,165,122,106,100,80,79,132,41,1,2,35,0,33,0,64,0,6,8,7,12,55,2,11,3,14,17,7,0,8,0,0,0,8,24,0,40,0,0,0,8,2,0,0,0,0,0,0,1,0,0,0,1,0,0,3,2,0,0,0,0
7358,7768,3742,1438,1343,549,1536,1303,1362,870,894,441,991,570,233,143,74,62,97,18,11,0,38,0,112,0,35,40,113,67,70,49,57,5,63,41,17,3,33,0,0,0,22,32,3,83,0,0,0,16,1,0,0,0,0,0,0,0,1,8,0,8,0,0,2,4,0,0,0,0
10289,5461,4058,3005,1609,909,1473,1137,992,1624,662,595,599,806,430,345,469,269,80,6,151,0,126,12,100,24,13,259,72,57,169,19,8,17,21,18,43,71,44,9,0,0,79,68,2,0,1,0,8,18,0,0,0,0,0,0,0,55,0,0,0,12,0,7,28,29,4,0,0,0
248,400,151,119,51,83,72,75,79,17,23,9,38,14,7,1,3,2,1,0,2,0,0,0,7,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,12,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
14859,5197,2619,2267,1739,1374,1645,1356,1435,1070,1303,600,957,684,379,275,17,304,22,15,94,0,103,1875,267,1448,31,148,38,43,273,0,713,1,61,84,89,10,32,0,0,0,56,75,0,20,1230,0,50,29,9,0,0,0,0,0,0,3,0,0,0,227,437,0,2,7,110,0,0,0
